State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
KS,BARBER,2,0,0,nan,nan
MS,MONROE,2,50,1,3.0,3.0
TX,LIBERTY,2,0,1,nan,nan
VA,RICHMOND CITY,3,66,2,3.0,3.0
WI,SAINT CROIX,3,99,0,4.0,4.0
TX,GRAYSON,3,0,3,3.0,3.0
WI,CHIPPEWA,3,33,1,4.5,4.5
GA,MUSCOGEE,3,33,3,4.0,5.0
PR,MAYAGUEZ,3,33,3,nan,nan
WA,BENTON,3,33,2,4.0,4.0
GA,CHATHAM,3,33,3,1.6666666666666667,2.0
OH,RICHLAND,3,99,2,3.5,3.5
PA,BERKS,3,0,3,3.6666666666666665,4.0
TX,GREGG,3,33,3,3.0,3.0
NY,ONONDAGA,3,66,3,2.0,2.0
MN,DAKOTA,3,0,3,4.0,4.0
PA,LUZERNE,3,66,3,2.0,2.0
PA,WESTMORELAND,3,0,3,3.3333333333333335,3.0
NC,IREDELL,3,33,3,2.6666666666666665,3.0
